common name,scientific name,status,which country
Parrot Senegal,Poicephalus senegalus,Migrant (Non-Breeding),Sierra Leone not Liberia
Wagtail White,Motacilla alba,Migrant (Non-Breeding),Sierra Leone not Liberia
Kite Black,Milvus migrans,Migrant (Breeding),Sierra Leone not Liberia
African Black Swift,Apus barbatus,Resident,Liberia not Ghana
Crimson Seedcracker,Pyrenestes sanguineus,Resident,Liberia not Ghana
Dybowski`s Twinspot,Euschistospiza dybowskii,Resident,Liberia not Ghana
Gola Malimbe,Malimbus ballmanni,Resident,Liberia not Ghana
Grey-winged Robin-Chat,Sheppardia polioptera,Resident,Liberia not Ghana
Lemon Dove,Columba larvata,Resident,Liberia not Ghana
Lyre-tailed Honeyguide,Melichneutes robustus,Resident,Liberia not Ghana
Mountain Wagtail,Motacilla clara,Resident,Liberia not Ghana
Olive Ibis,Bostrychia olivacea,Resident,Liberia not Ghana
Rufous-naped Lark,Mirafra africana,Resident,Liberia not Ghana
Sierra Leone Prinia,Schistolais leontica,Resident,Liberia not Ghana
Timneh Parrot,Psittacus timneh,Resident,Liberia not Ghana
Yellow-bellied Wattle-eye,Platysteira concreta,Resident,Liberia not Ghana
Plain Swift,Apus unicolor,Migrant (Non-Breeding),Liberia not Ghana
Spotted Crake,Porzana porzana,Migrant (Non-Breeding),Liberia not Ghana
Western Subalpine Warbler,Curruca iberiae,Migrant (Non-Breeding),Liberia not Ghana
Yellow-billed Stork,Mycteria ibis,Migrant (Non-Breeding),Liberia not Ghana
African Barred Owlet,Glaucidium capense,Resident,Liberia not Sierra Leone
African Piculet,Verreauxia africana,Resident,Liberia not Sierra Leone
Brown-backed Honeybird,Prodotiscus regulus,Resident,Liberia not Sierra Leone
Forest Penduline Tit,Anthoscopus flavifrons,Resident,Liberia not Sierra Leone
Forest Wood Hoopoe,Phoeniculus castaneiceps,Resident,Liberia not Sierra Leone
Gambaga Flycatcher,Muscicapa gambagae,Resident,Liberia not Sierra Leone
Maned Owl,Jubula lettii,Resident,Liberia not Sierra Leone
Red-fronted Parrot,Poicephalus gulielmi,Resident,Liberia not Sierra Leone
Reichenbach`s Sunbird,Anabathmis reichenbachii,Resident,Liberia not Sierra Leone
Rose-ringed Parakeet,Psittacula krameri,Resident,Liberia not Sierra Leone
